EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDistTHR;beta;alfa
27,9167;0;0,558333333;30;10;10;0,4;16;15
31,5278;0;0,630555556;30;10;10;0,4;8;15
28,6111;0;0,572222222;30;10;10;0,4;12;15
27,9167;0;0,558333333;30;10;10;0,4;16;15
37,6389;0;0,752777778;30;4;40;0,2;8;15
37,3611;0;0,747222222;30;4;40;0,2;12;15
37,2222;0;0,744444444;30;4;40;0,2;16;15
37,6389;0;0,752777778;30;4;40;0,2;8;15
37,3611;0;0,747222222;30;4;40;0,2;12;15
37,2222;0;0,744444444;30;4;40;0,2;16;15
37,6389;0;0,752777778;30;4;40;0,4;8;15
37,3611;0;0,747222222;30;4;40;0,4;12;15
37,2222;0;0,744444444;30;4;40;0,4;16;15
37,6389;0;0,752777778;30;4;40;0,4;8;15
37,3611;0;0,747222222;30;4;40;0,4;12;15
37,2222;0;0,744444444;30;4;40;0,4;16;15
25,8333;0;0,516666667;30;10;40;0,2;8;15
19,0278;0;0,380555556;30;10;40;0,2;12;15
17,2222;0;0,344444444;30;10;40;0,2;16;15
25,8333;0;0,516666667;30;10;40;0,2;8;15
19,0278;0;0,380555556;30;10;40;0,2;12;15
17,2222;0;0,344444444;30;10;40;0,2;16;15
24,7222;0;0,494444444;30;10;40;0,4;8;15
17,7778;0;0,355555556;30;10;40;0,4;12;15
15,5556;0;0,311111111;30;10;40;0,4;16;15
24,7222;0;0,494444444;30;10;40;0,4;8;15
17,7778;0;0,355555556;30;10;40;0,4;12;15
15,5556;0;0,311111111;30;10;40;0,4;16;15
Matches;total;103680;;;;;;
3693;;;;;;;;
